mfo;edrpou;fullName;name
300001;00032106;Національний банк України;Національний банк України
322313;00032112;публічне акціонерне товариство "Державний експортно-імпортний банк України";АТ "Укрексімбанк"
300012;00039002;Публічне акціонерне товариство "Акціонерний комерційний промислово-інвестиційний банк";ПАТ "Промінвестбанк"
300023;00039019;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "УКРСОЦБАНК";ПАТ "УКРСОЦБАНК"
300465;00032129;публічне акціонерне товариство "Державний ощадний банк України";АТ "Ощадбанк"
300056;14291780;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "ЛЕГБАНК";ПАТ "ЛЕГБАНК"
300142;05839888;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "УКРАЇНСЬКИЙ ІННОВАЦІЙНИЙ БАНК";ПАТ "УКРІНБАНК"
300175;14351016;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "ФІДОБАНК";ПУАТ "ФІДОБАНК"
320735;22932856;Публічне акціонерне товариство "Інтеграл-банк";ПАТ "Інтеграл-банк"
300272;19357762;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "ЕНЕРГОБАНК";ПАТ "ЕНЕРГОБАНК"
300216;14358604;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО КОМЕРЦІЙНИЙ БАНК "ІНТЕРБАНК";ПАТ КБ "ІНТЕРБАНК"
300335;14305909;Публічне акціонерне товариство "Райффайзен Банк Аваль";АТ "Райффайзен Банк Аваль"
300249;19357489;Публічне акціонерне товариство "БРОКБІЗНЕСБАНК";АТ "БРОКБІЗНЕСБАНК"
321767;14359319;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "ВТБ БАНК";ПАТ "ВТБ БАНК"
320940;19358784;Публічне акціонерне товариство "АЛЬТБАНК";АТ "АЛЬТБАНК"
305299;14360570;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО КОМЕРЦІЙНИЙ БАНК "ПРИВАТБАНК";ПАТ КБ "ПРИВАТБАНК"
305062;19361982;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ БАНК "НОВИЙ";АКБ "НОВИЙ"
353100;19356610;Публічне акціонерне товариство "Полікомбанк";Полікомбанк
334594;09806437;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "БАНК ПРОФЕСІЙНОГО ФІНАНСУВАННЯ";ПАТ "ПРОФІН БАНК"
334828;13486837;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "АКЦІОНЕРНО-КОМЕРЦІЙНИЙ БАНК "КАПІТАЛ";ПАТ "АКБ "КАПІТАЛ"
321712;14349442;Публічне акціонерне товариство "РОДОВІД БАНК";АТ "РОДОВІД БАНК"
322294;09322299;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "КОМЕРЦІЙНИЙ БАНК "ЕКСПОБАНК";АТ "КБ "ЕКСПОБАНК"
334840;20042839;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "БАНК ФАМІЛЬНИЙ";ПАТ "БАНК ФАМІЛЬНИЙ"
380537;19017842;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "ВСЕУКРАЇНСЬКИЙ АКЦІОНЕРНИЙ БАНК";ПАТ "ВіЕйБі Банк"
300788;19454139;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "БАНК "ТАВРИКА";АТ "БАНК "ТАВРИКА"
325268;09801546;Публічне акціонерне товариство Акціонерно-комерційний банк "Львів";ПАТ АКБ "Львів"
325990;09306278;Публічне акціонерне товариство "ОКСІ БАНК";ПАТ "ОКСІ БАНК"
307770;14360080;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "АКЦЕНТ - БАНК";ПАТ "А - БАНК"
325213;19358632;Публічне акціонерне товариство "ВіЕс Банк";ПАТ "ВіЕс Банк"
351663;14360386;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО БАНК "МЕРКУРІЙ";АТ БАНК "МЕРКУРІЙ"
328209;20953647;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО АКЦІОНЕРНИЙ БАНК "ПІВДЕННИЙ";Акціонерний банк "Південний"
328180;13881479;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО АКЦІОНЕРНИЙ БАНК "ПОРТО-ФРАНКО";АБ "ПОРТО-ФРАНКО"
328210;20935649;Публічне акціонерне товариство "Комерційний банк "Інвестбанк";ПАТ "КБ "Інвестбанк"
331489;09807595;Публічне акціонерне товариство "Полтава-банк";ПАТ "Полтава-банк"
334851;14282829;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "ПЕРШИЙ УКРАЇНСЬКИЙ МІЖНАРОДНИЙ БАНК";ПАТ "ПУМБ"
328685;20041917;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "ФІНБАНК";ПАТ "ФІНБАНК"
351607;14070197;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "СХІДНО-УКРАЇНСЬКИЙ БАНК "ГРАНТ";ПАТ "БАНК "ГРАНТ"
351254;09620081;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "СКАЙ БАНК";ПАТ "СКАЙ БАНК"
351005;09807750;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "УКРСИББАНК";АТ "УкрСиббанк"
312248;19355562;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "КОМЕРЦІЙНИЙ ІНВЕСТИЦІЙНИЙ БАНК";ПАТ "КОМІНВЕСТБАНК"
380838;14360920;Акціонерне товариство "ПРАВЕКС БАНК";АТ "ПРАВЕКС БАНК"
328599;14366762;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "ФІНРОСТБАНК";АТ "ФІНРОСТБАНК"
322432;20026740;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "БАНК НАРОДНИЙ КАПІТАЛ";АТ "НК БАНК"
322335;19361386;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ БАНК "АРКАДА";ПАТ АКБ "АРКАДА"
331100;20046323;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "АВТОКРАЗБАНК";ПАТ "АКБ Банк"
322465;19361746;Публічне акціонерне товариство Банк "Контракт";ПАТ Банк "Контракт"
313582;20496061;Публічне акціонерне товариство "МетаБанк";АТ "МетаБанк"
351931;20015529;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "БАНК ЗОЛОТІ ВОРОТА";АТ "БАНК ЗОЛОТІ ВОРОТА"
322625;21536532;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "АКЦІОНЕРНИЙ БАНК "УКООПСПІЛКА";АБ "УКООПСПІЛКА"
380764;20025456;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "КОМЕРЦІЙНИЙ БАНК "НАДРА";ПАТ "КБ "НАДРА"
300379;19357443;Філія "КІБ" Публічного акціонерного товариства "КРЕДІ АГРІКОЛЬ БАНК";Філія "КІБ" ПАТ "КРЕДІ АГРІКОЛЬ БАНК"
380292;19364584;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "КСГ БАНК";ПАТ "КСГ БАНК"
305880;20280450;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "КОМЕРЦІЙНИЙ БАНК "ЗЕМЕЛЬНИЙ КАПІТАЛ";ПАТ "КБ "ЗЕМЕЛЬНИЙ КАПІТАЛ"
328384;20971504;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "ІМЕКСБАНК";АТ "ІМЕКСБАНК"
304706;23478833;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "СХІДНО-ПРОМИСЛОВИЙ КОМЕРЦІЙНИЙ БАНК";АТ "СП БАНК"
320702;20057663;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "БАНК НАЦІОНАЛЬНИЙ КРЕДИТ";ПАТ "БАНК НАЦІОНАЛЬНИЙ КРЕДИТ"
320843;24262992;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "УКРГАЗПРОМБАНК";ПАТ "УКРГАЗПРОМБАНК"
380601;24425738;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "ТЕРРА БАНК";ПАТ "ТЕРРА БАНК"
300647;21665382;Публічне акціонерне товариство "Банк "КЛІРИНГОВИЙ ДІМ";АБ "КЛІРИНГОВИЙ ДІМ"
300506;26410155;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК";ПАТ "ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК"
300539;21684818;Публічне акціонерне товариство "ІНГ Банк Україна";ПАT "ІНГ Банк Україна"
300528;21685166;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "ОТП БАНК";АТ "ОТП БАНК"
300584;21685485;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "СІТІБАНК";ПАТ "СІТІБАНК"
